redis-1  | 1:C 17 May 2026 20:12:23.170 # WARNING Memory overcommit must be enabled! Without it, a background save or replication may fail under low memory condition. Being disabled, it can also cause failures without low memory condition, see https://github.com/jemalloc/jemalloc/issues/1328. To fix this issue add 'vm.overcommit_memory = 1' to /etc/sysctl.conf and then reboot or run the command 'sysctl vm.overcommit_memory=1' for this to take effect.
db-1     | 2026-05-18 09:11:27.126 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 09:11:29.053 UTC [25] LOG:  checkpoint complete: wrote 20 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.912 s, sync=0.004 s, total=1.927 s; sync files=18, longest=0.002 s, average=0.001 s; distance=83 kB, estimate=179 kB; lsn=0/1B88BD0, redo lsn=0/1B88B98
db-1     | 2026-05-18 09:16:27.120 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 09:16:28.748 UTC [25] LOG:  checkpoint complete: wrote 17 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.611 s, sync=0.005 s, total=1.628 s; sync files=17, longest=0.003 s, average=0.001 s; distance=62 kB, estimate=167 kB; lsn=0/1B98698, redo lsn=0/1B98660
db-1     | 2026-05-18 09:26:27.925 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 09:26:29.850 UTC [25] LOG:  checkpoint complete: wrote 20 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.911 s, sync=0.003 s, total=1.925 s; sync files=19, longest=0.003 s, average=0.001 s; distance=64 kB, estimate=157 kB; lsn=0/1BA86E0, redo lsn=0/1BA86A8
db-1     | 2026-05-18 09:31:27.853 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 09:31:28.786 UTC [25] LOG:  checkpoint complete: wrote 10 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.910 s, sync=0.006 s, total=0.934 s; sync files=10, longest=0.004 s, average=0.001 s; distance=25 kB, estimate=144 kB; lsn=0/1BAEEC8, redo lsn=0/1BAEE90
db-1     | 2026-05-18 09:46:28.043 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 09:46:28.669 UTC [25] LOG:  checkpoint complete: wrote 7 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.607 s, sync=0.006 s, total=0.627 s; sync files=7, longest=0.004 s, average=0.001 s; distance=15 kB, estimate=131 kB; lsn=0/1BB2D28, redo lsn=0/1BB2CF0
db-1     | 2026-05-18 09:56:28.774 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 09:56:29.804 UTC [25] LOG:  checkpoint complete: wrote 11 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.010 s, sync=0.004 s, total=1.030 s; sync files=11, longest=0.002 s, average=0.001 s; distance=26 kB, estimate=120 kB; lsn=0/1BB98A8, redo lsn=0/1BB9870
db-1     | 2026-05-18 10:01:28.881 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 10:01:30.406 UTC [25] LOG:  checkpoint complete: wrote 16 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.511 s, sync=0.005 s, total=1.526 s; sync files=16, longest=0.003 s, average=0.001 s; distance=63 kB, estimate=115 kB; lsn=0/1BC9790, redo lsn=0/1BC9758
db-1     | 2026-05-18 10:06:28.502 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 10:06:30.126 UTC [25] LOG:  checkpoint complete: wrote 17 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.610 s, sync=0.004 s, total=1.624 s; sync files=17, longest=0.003 s, average=0.001 s; distance=65 kB, estimate=110 kB; lsn=0/1BD9C00, redo lsn=0/1BD9BC8
db-1     | 2026-05-18 10:26:28.302 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 10:26:29.528 UTC [25] LOG:  checkpoint complete: wrote 13 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.208 s, sync=0.006 s, total=1.226 s; sync files=13, longest=0.004 s, average=0.001 s; distance=61 kB, estimate=105 kB; lsn=0/1BE9390, redo lsn=0/1BE9320
db-1     | 2026-05-18 10:41:28.782 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 10:41:29.905 UTC [25] LOG:  checkpoint complete: wrote 12 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.109 s, sync=0.004 s, total=1.123 s; sync files=12, longest=0.002 s, average=0.001 s; distance=28 kB, estimate=97 kB; lsn=0/1BF06D0, redo lsn=0/1BF0698
db-1     | 2026-05-18 10:56:29.093 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 10:56:30.018 UTC [25] LOG:  checkpoint complete: wrote 10 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.908 s, sync=0.005 s, total=0.925 s; sync files=10, longest=0.004 s, average=0.001 s; distance=28 kB, estimate=90 kB; lsn=0/1BF77F0, redo lsn=0/1BF77B8
db-1     | 2026-05-18 11:11:29.286 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 11:11:30.970 UTC [25] LOG:  checkpoint complete: wrote 17 buffers (0.1%); 1 WAL file(s) added, 0 removed, 0 recycled; write=1.611 s, sync=0.006 s, total=1.684 s; sync files=17, longest=0.004 s, average=0.001 s; distance=68 kB, estimate=88 kB; lsn=0/1C08A10, redo lsn=0/1C089D8
db-1     | 2026-05-18 11:16:29.998 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 11:16:30.971 UTC [25] LOG:  checkpoint complete: wrote 10 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.917 s, sync=0.011 s, total=0.973 s; sync files=10, longest=0.007 s, average=0.001 s; distance=36 kB, estimate=83 kB; lsn=0/1C11A48, redo lsn=0/1C11A10
db-1     | 2026-05-18 11:21:29.998 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 11:21:30.519 UTC [25] LOG:  checkpoint complete: wrote 6 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.506 s, sync=0.004 s, total=0.521 s; sync files=6, longest=0.003 s, average=0.001 s; distance=18 kB, estimate=76 kB; lsn=0/1C162E0, redo lsn=0/1C162A8
db-1     | 2026-05-18 11:26:29.600 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 11:26:30.522 UTC [25] LOG:  checkpoint complete: wrote 10 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.908 s, sync=0.004 s, total=0.923 s; sync files=10, longest=0.002 s, average=0.001 s; distance=31 kB, estimate=72 kB; lsn=0/1C1DFB8, redo lsn=0/1C1DF80
db-1     | 2026-05-18 11:31:29.622 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 11:31:30.150 UTC [25] LOG:  checkpoint complete: wrote 6 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.510 s, sync=0.004 s, total=0.528 s; sync files=5, longest=0.003 s, average=0.001 s; distance=23 kB, estimate=67 kB; lsn=0/1C23F68, redo lsn=0/1C23F30
db-1     | 2026-05-18 11:36:29.246 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 11:36:29.668 UTC [25] LOG:  checkpoint complete: wrote 5 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.405 s, sync=0.005 s, total=0.422 s; sync files=5, longest=0.003 s, average=0.001 s; distance=16 kB, estimate=62 kB; lsn=0/1C28128, redo lsn=0/1C280F0
db-1     | 2026-05-18 11:46:29.821 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 11:46:30.740 UTC [25] LOG:  checkpoint complete: wrote 10 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.908 s, sync=0.003 s, total=0.920 s; sync files=10, longest=0.002 s, average=0.001 s; distance=28 kB, estimate=58 kB; lsn=0/1C2F2E0, redo lsn=0/1C2F2A8
db-1     | 2026-05-18 11:51:29.830 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 11:51:30.251 UTC [25] LOG:  checkpoint complete: wrote 5 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.406 s, sync=0.004 s, total=0.421 s; sync files=5, longest=0.003 s, average=0.001 s; distance=16 kB, estimate=54 kB; lsn=0/1C33628, redo lsn=0/1C335F0
db-1     | 2026-05-18 12:01:29.424 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 12:01:29.844 UTC [25] LOG:  checkpoint complete: wrote 5 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.405 s, sync=0.004 s, total=0.421 s; sync files=5, longest=0.003 s, average=0.001 s; distance=16 kB, estimate=50 kB; lsn=0/1C37A18, redo lsn=0/1C379E0
db-1     | 2026-05-18 12:06:29.881 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 12:06:30.802 UTC [25] LOG:  checkpoint complete: wrote 10 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.908 s, sync=0.003 s, total=0.921 s; sync files=10, longest=0.002 s, average=0.001 s; distance=29 kB, estimate=48 kB; lsn=0/1C3EE50, redo lsn=0/1C3EE18
db-1     | 2026-05-18 12:11:29.880 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 12:11:30.806 UTC [25] LOG:  checkpoint complete: wrote 10 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.908 s, sync=0.005 s, total=0.926 s; sync files=10, longest=0.004 s, average=0.001 s; distance=29 kB, estimate=46 kB; lsn=0/1C46330, redo lsn=0/1C462F8
db-1     | 2026-05-18 12:21:29.952 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 12:21:31.284 UTC [25] LOG:  checkpoint complete: wrote 14 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.319 s, sync=0.004 s, total=1.333 s; sync files=14, longest=0.003 s, average=0.001 s; distance=65 kB, estimate=65 kB; lsn=0/1C56AF0, redo lsn=0/1C56AB8
db-1     | 2026-05-18 12:26:29.357 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 12:26:30.276 UTC [25] LOG:  checkpoint complete: wrote 10 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.907 s, sync=0.004 s, total=0.920 s; sync files=10, longest=0.002 s, average=0.001 s; distance=30 kB, estimate=62 kB; lsn=0/1C5E5D8, redo lsn=0/1C5E5A0
db-1     | 2026-05-18 12:31:29.359 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 12:31:30.887 UTC [25] LOG:  checkpoint complete: wrote 16 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.511 s, sync=0.005 s, total=1.528 s; sync files=16, longest=0.003 s, average=0.001 s; distance=68 kB, estimate=68 kB; lsn=0/1C6F838, redo lsn=0/1C6F800
db-1     | 2026-05-18 12:36:29.961 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 12:36:31.403 UTC [25] LOG:  checkpoint complete: wrote 15 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.411 s, sync=0.009 s, total=1.442 s; sync files=13, longest=0.005 s, average=0.001 s; distance=47 kB, estimate=66 kB; lsn=0/1C7B6D0, redo lsn=0/1C7B698
db-1     | 2026-05-18 12:46:29.595 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 12:46:30.919 UTC [25] LOG:  checkpoint complete: wrote 14 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.308 s, sync=0.003 s, total=1.325 s; sync files=12, longest=0.002 s, average=0.001 s; distance=49 kB, estimate=64 kB; lsn=0/1C87CA8, redo lsn=0/1C87C70
db-1     | 2026-05-18 12:51:29.998 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 12:51:30.421 UTC [25] LOG:  checkpoint complete: wrote 5 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.405 s, sync=0.005 s, total=0.423 s; sync files=5, longest=0.004 s, average=0.001 s; distance=19 kB, estimate=60 kB; lsn=0/1C8CBE8, redo lsn=0/1C8CBB0
db-1     | 2026-05-18 12:56:29.521 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 12:56:30.055 UTC [25] LOG:  checkpoint complete: wrote 6 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.508 s, sync=0.006 s, total=0.534 s; sync files=6, longest=0.004 s, average=0.001 s; distance=20 kB, estimate=56 kB; lsn=0/1C91D88, redo lsn=0/1C91D50
db-1     | 2026-05-18 13:11:29.299 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 13:11:29.719 UTC [25] LOG:  checkpoint complete: wrote 5 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.405 s, sync=0.004 s, total=0.420 s; sync files=5, longest=0.003 s, average=0.001 s; distance=18 kB, estimate=52 kB; lsn=0/1C96770, redo lsn=0/1C96738
db-1     | 2026-05-18 13:26:29.966 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 13:26:30.888 UTC [25] LOG:  checkpoint complete: wrote 10 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.908 s, sync=0.003 s, total=0.922 s; sync files=10, longest=0.002 s, average=0.001 s; distance=36 kB, estimate=50 kB; lsn=0/1C9F960, redo lsn=0/1C9F928
db-1     | 2026-05-18 13:41:30.142 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 13:41:31.166 UTC [25] LOG:  checkpoint complete: wrote 11 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.008 s, sync=0.004 s, total=1.024 s; sync files=10, longest=0.003 s, average=0.001 s; distance=38 kB, estimate=49 kB; lsn=0/1CA9318, redo lsn=0/1CA92E0
db-1     | 2026-05-18 13:46:30.222 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 13:46:31.867 UTC [25] LOG:  checkpoint complete: wrote 17 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.616 s, sync=0.006 s, total=1.646 s; sync files=17, longest=0.003 s, average=0.001 s; distance=68 kB, estimate=68 kB; lsn=0/1CBA6F8, redo lsn=0/1CBA6C0
db-1     | 2026-05-18 14:26:31.374 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 14:26:32.307 UTC [25] LOG:  checkpoint complete: wrote 10 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.912 s, sync=0.006 s, total=0.933 s; sync files=10, longest=0.004 s, average=0.001 s; distance=31 kB, estimate=65 kB; lsn=0/1CC2668, redo lsn=0/1CC2630
db-1     | 2026-05-18 14:31:31.382 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 14:31:31.803 UTC [25] LOG:  checkpoint complete: wrote 5 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.405 s, sync=0.004 s, total=0.421 s; sync files=5, longest=0.003 s, average=0.001 s; distance=19 kB, estimate=60 kB; lsn=0/1CC7508, redo lsn=0/1CC74D0
db-1     | 2026-05-18 15:01:32.046 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 15:01:32.484 UTC [25] LOG:  checkpoint complete: wrote 5 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.406 s, sync=0.008 s, total=0.439 s; sync files=5, longest=0.006 s, average=0.002 s; distance=19 kB, estimate=56 kB; lsn=0/1CCC4F0, redo lsn=0/1CCC4B8
db-1     | 2026-05-18 15:06:32.529 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 15:06:33.354 UTC [25] LOG:  checkpoint complete: wrote 9 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.807 s, sync=0.006 s, total=0.825 s; sync files=9, longest=0.004 s, average=0.001 s; distance=47 kB, estimate=55 kB; lsn=0/1CD8190, redo lsn=0/1CD8158
db-1     | 2026-05-18 18:01:34.998 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 18:01:35.322 UTC [25] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.306 s, sync=0.005 s, total=0.324 s; sync files=3, longest=0.003 s, average=0.002 s; distance=3 kB, estimate=50 kB; lsn=0/1CD9130, redo lsn=0/1CD90F8
db-1     | 2026-05-18 18:11:34.494 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 18:11:35.019 UTC [25] LOG:  checkpoint complete: wrote 6 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.505 s, sync=0.007 s, total=0.525 s; sync files=6, longest=0.005 s, average=0.002 s; distance=20 kB, estimate=47 kB; lsn=0/1CDE1C8, redo lsn=0/1CDE190
db-1     | 2026-05-18 18:26:34.272 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 18:26:34.799 UTC [25] LOG:  checkpoint complete: wrote 6 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.507 s, sync=0.006 s, total=0.527 s; sync files=6, longest=0.005 s, average=0.001 s; distance=20 kB, estimate=44 kB; lsn=0/1CE3328, redo lsn=0/1CE32F0
db-1     | 2026-05-18 18:41:35.042 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 18:41:36.070 UTC [25] LOG:  checkpoint complete: wrote 11 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.009 s, sync=0.004 s, total=1.029 s; sync files=10, longest=0.003 s, average=0.001 s; distance=57 kB, estimate=57 kB; lsn=0/1CF19E0, redo lsn=0/1CF19A8
db-1     | 2026-05-18 18:46:35.098 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 18:46:36.221 UTC [25] LOG:  checkpoint complete: wrote 12 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.110 s, sync=0.004 s, total=1.124 s; sync files=12, longest=0.003 s, average=0.001 s; distance=33 kB, estimate=55 kB; lsn=0/1CFA0A0, redo lsn=0/1CFA068
db-1     | 2026-05-18 19:11:35.569 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 19:11:36.403 UTC [25] LOG:  checkpoint complete: wrote 9 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.808 s, sync=0.006 s, total=0.834 s; sync files=9, longest=0.004 s, average=0.001 s; distance=47 kB, estimate=54 kB; lsn=0/1D05D70, redo lsn=0/1D05D38
db-1     | 2026-05-18 19:16:35.499 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 19:16:36.447 UTC [25] LOG:  checkpoint complete: wrote 10 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.910 s, sync=0.006 s, total=0.948 s; sync files=10, longest=0.004 s, average=0.001 s; distance=32 kB, estimate=52 kB; lsn=0/1D0DFE0, redo lsn=0/1D0DFA8
db-1     | 2026-05-18 19:56:36.062 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-18 19:56:36.588 UTC [25] LOG:  checkpoint complete: wrote 6 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.506 s, sync=0.008 s, total=0.526 s; sync files=6, longest=0.005 s, average=0.002 s; distance=19 kB, estimate=49 kB; lsn=0/1D12F88, redo lsn=0/1D12F50
db-1     | 2026-05-19 02:46:42.413 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-19 02:46:43.035 UTC [25] LOG:  checkpoint complete: wrote 7 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.607 s, sync=0.004 s, total=0.623 s; sync files=7, longest=0.003 s, average=0.001 s; distance=42 kB, estimate=48 kB; lsn=0/1D1D7F8, redo lsn=0/1D1D7C0
db-1     | 2026-05-19 03:51:42.992 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-19 03:51:44.623 UTC [25] LOG:  checkpoint complete: wrote 17 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.611 s, sync=0.006 s, total=1.631 s; sync files=17, longest=0.004 s, average=0.001 s; distance=71 kB, estimate=71 kB; lsn=0/1D2F600, redo lsn=0/1D2F5C8
db-1     | 2026-05-19 06:31:45.246 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-19 06:31:45.664 UTC [25] LOG:  checkpoint complete: wrote 5 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.405 s, sync=0.004 s, total=0.419 s; sync files=5, longest=0.003 s, average=0.001 s; distance=12 kB, estimate=65 kB; lsn=0/1D326C0, redo lsn=0/1D32688
db-1     | 2026-05-19 06:46:45.918 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-19 06:46:46.841 UTC [25] LOG:  checkpoint complete: wrote 10 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.907 s, sync=0.005 s, total=0.924 s; sync files=10, longest=0.004 s, average=0.001 s; distance=38 kB, estimate=62 kB; lsn=0/1D3C030, redo lsn=0/1D3BFE0
db-1     | 2026-05-19 07:41:46.633 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-19 07:41:47.558 UTC [25] LOG:  checkpoint complete: wrote 10 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.908 s, sync=0.006 s, total=0.926 s; sync files=10, longest=0.004 s, average=0.001 s; distance=49 kB, estimate=61 kB; lsn=0/1D48700, redo lsn=0/1D486C8
db-1     | 2026-05-19 07:46:46.611 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-19 07:46:47.532 UTC [25] LOG:  checkpoint complete: wrote 10 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.908 s, sync=0.003 s, total=0.921 s; sync files=10, longest=0.002 s, average=0.001 s; distance=33 kB, estimate=58 kB; lsn=0/1D50B68, redo lsn=0/1D50B30
db-1     | 2026-05-19 07:56:46.681 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-19 07:56:47.603 UTC [25] LOG:  checkpoint complete: wrote 10 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.908 s, sync=0.004 s, total=0.922 s; sync files=10, longest=0.003 s, average=0.001 s; distance=33 kB, estimate=56 kB; lsn=0/1D59240, redo lsn=0/1D59208
db-1     | 2026-05-19 08:41:47.278 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-19 08:41:49.004 UTC [25] LOG:  checkpoint complete: wrote 18 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.711 s, sync=0.004 s, total=1.726 s; sync files=17, longest=0.002 s, average=0.001 s; distance=80 kB, estimate=80 kB; lsn=0/1D6D3A8, redo lsn=0/1D6D370
db-1     | 2026-05-19 08:56:47.200 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-19 08:56:48.824 UTC [25] LOG:  checkpoint complete: wrote 17 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.610 s, sync=0.005 s, total=1.624 s; sync files=17, longest=0.003 s, average=0.001 s; distance=72 kB, estimate=79 kB; lsn=0/1D7F600, redo lsn=0/1D7F5C8
db-1     | 2026-05-19 09:06:47.998 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-19 09:06:48.418 UTC [25] LOG:  checkpoint complete: wrote 5 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.406 s, sync=0.004 s, total=0.420 s; sync files=5, longest=0.003 s, average=0.001 s; distance=20 kB, estimate=73 kB; lsn=0/1D849D0, redo lsn=0/1D84998
db-1     | 2026-05-19 09:21:47.598 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-19 09:21:48.923 UTC [25] LOG:  checkpoint complete: wrote 14 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.311 s, sync=0.004 s, total=1.325 s; sync files=13, longest=0.002 s, average=0.001 s; distance=64 kB, estimate=72 kB; lsn=0/1D94B70, redo lsn=0/1D94B38
db-1     | 2026-05-19 09:26:48.013 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-19 09:26:49.740 UTC [25] LOG:  checkpoint complete: wrote 18 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.712 s, sync=0.003 s, total=1.728 s; sync files=17, longest=0.002 s, average=0.001 s; distance=65 kB, estimate=72 kB; lsn=0/1DA51A0, redo lsn=0/1DA5168
db-1     | 2026-05-19 09:36:48.926 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-19 09:36:50.753 UTC [25] LOG:  checkpoint complete: wrote 19 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.813 s, sync=0.004 s, total=1.827 s; sync files=17, longest=0.002 s, average=0.001 s; distance=73 kB, estimate=73 kB; lsn=0/1DB7728, redo lsn=0/1DB76F0
db-1     | 2026-05-19 09:41:48.846 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-19 09:41:49.768 UTC [25] LOG:  checkpoint complete: wrote 10 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.908 s, sync=0.003 s, total=0.922 s; sync files=10, longest=0.002 s, average=0.001 s; distance=35 kB, estimate=69 kB; lsn=0/1DC0588, redo lsn=0/1DC0550
db-1     | 2026-05-19 09:46:48.868 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-19 09:46:50.894 UTC [25] LOG:  checkpoint complete: wrote 21 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.012 s, sync=0.004 s, total=2.027 s; sync files=19, longest=0.002 s, average=0.001 s; distance=84 kB, estimate=84 kB; lsn=0/1DD57C0, redo lsn=0/1DD5788
db-1     | 2026-05-19 09:51:48.970 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-19 09:51:49.890 UTC [25] LOG:  checkpoint complete: wrote 10 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.908 s, sync=0.004 s, total=0.921 s; sync files=10, longest=0.002 s, average=0.001 s; distance=36 kB, estimate=79 kB; lsn=0/1DDE8B8, redo lsn=0/1DDE880
db-1     | 2026-05-19 09:56:48.987 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-19 09:56:49.908 UTC [25] LOG:  checkpoint complete: wrote 10 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.909 s, sync=0.004 s, total=0.922 s; sync files=10, longest=0.003 s, average=0.001 s; distance=36 kB, estimate=75 kB; lsn=0/1DE7C20, redo lsn=0/1DE7BE8
db-1     | 2026-05-19 10:01:48.998 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-19 10:01:50.625 UTC [25] LOG:  checkpoint complete: wrote 17 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.612 s, sync=0.005 s, total=1.627 s; sync files=17, longest=0.003 s, average=0.001 s; distance=67 kB, estimate=74 kB; lsn=0/1DF88E0, redo lsn=0/1DF88A8
db-1     | 2026-05-19 10:31:49.069 UTC [25] LOG:  checkpoint starting: time
db-1     | 2026-05-19 10:31:50.090 UTC [25] LOG:  checkpoint complete: wrote 11 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.008 s, sync=0.004 s, total=1.021 s; sync files=10, longest=0.002 s, average=0.001 s; distance=37 kB, estimate=70 kB; lsn=0/1E020B8, redo lsn=0/1E02080
db-1     | 2026-05-19 10:36:49.166 UTC [25] LOG:  checkpoint starting: time
